Great for watching games , ufc ,	True
and whatever else tickles yer fancy	False
Happy Hour 2 - 4 daily with 1/2 price drinks and slushes AND after 8 half price shakes .	False
They actually have a peanut butter and bacon shake .	False
Good chips and salsa .	True
The setting and decoration here is amazing .	True
Come check out the waterfall fountain in the middle !	False
Molly is definately taking a picture with Santa lols	False
The drunken noodles are outrageous !	False
Only worth a visit in the summer time ,	False
to take advantage of the huge sun soaked patio .	False
Hands down best AYCE in town !	False
Sat in the drive thru this afternoon for 30 minutes	False
and then was handed the wrong coffee .	False
and this was the first bad experience	False
but their wait time was 3 hours !	False
This place is great !	False
More parking in the back of the restaurant	False
Best pretzels this side of the Rhein . Wash down with the Franziskaner Weissbier .	False
Having the yellow curry , summer rolls and a coke .	False
but the curry was incredible !	False
When you receive the bag of seafood	False
and then mix it up that way	False
all the flavours get into the seafood .	False
As well for the owner play less Drake music please and thank you	False
2nd stop for the pub - crawl !	False
Really delicious food and amazing service .	True
Long lines at lunch ! !	False
to buy a car or mini van .	False
they are not going to lower the price on a vehicle ,	False
The black sales guy is unprofessional	False
# poutinecrawl # yyc stop # 1	False
If there 's a more authentic breakfast place in Pittsburgh ,	False
Ritter 's is comfort food at its best !	False
Late night burger cravings ...	False
Cash only ! ATM on site	False
do not walk to circle - h . pulled pork .	False
Good mix of cuisine	True
Burgers , salads , entrees of chili and even a ribeye steak .	True
Wonderful food and great service !	True
Over 100 group fitness class a week ! ! !	True
Tara did a great job .	False
Its open ! Lobby closes at 10pm .	False
The drive - thru open till 11 pm	False
after checking into the hotel ! !	False
So far everything has been great	False
Hey mom look at me !	False
New Milk Tea Recipe ! not as sweet , and nice tea flavor .	True
Lots of people on the second floor !	False
Um . All kinds of awesome !	False
Big clean and all the Chinese and western groceries	False
Tons of wing flavors ...	True
Try the green gables IPA , it is delicious ! !	True
Save room for a yummy scone !	False
15 dollar credit card minimum , no AMEX	False
Mani / Pedi for $ 15 .	False
You can order custom rolls	True
if you ask nicely	False
Dr. Spilotro is the best , awesome staff	False
This is the ONLY Starbucks drive thru in Gilbert	False
and it takes FOREVER ! !	False
ca n't take picture .	False
The food here is excellent !	True
Green papaya salad not good .	False
Papaya sliced too thick and not enough fish sauce or flavoring .	False
Portion small for price .	False
Gas price 3.49 regular	False
The iced kicker is a must ,	False
if you have little ones a chocolate milk with whip cream .	False
Grill marinated porkchop w julienned pork and steamed eggs ... yum	False
Yet another Business Journal event .	False
Put lots of sunblock !	False
Annoying they do n't offer baby and me movies throughout the week in a ' hood full of moms ! !	False
The toffee and the caramel cake are delicious !	True
Great service , on time , explained everything and very friendly .	True
Awesome tasty baked goods . Affordable   prices .	True
Super nice staff in a busy shop	True
This place is Awesome ..	False
Their Lamb chops are dying for ... love coming here ...	False
One of the best locations	False
because the staff are always super nice , accommodating and hard working !	True
We have 5 chairs left for face time networking .	False
Fuggit - about it it 's cool learn a lot about the real Vegas !	False
Very nice , helpful and fast !	True
Helped me every step along the way .	True
Amazing talent , beautiful building , incredible orchestra but not enough estrogen in the world	False
to make me suffer through another 3 hours .	False
On their Sunday afternoon sessions - they provide the orange juice ,	False
you provide the champagne !	False
"If you hit "" max bet "" on one of the machines"	False
it will bet all the money	False
you have in there .....	False
the bartender will tell you after ..... rip off	False
They now have PUDDING here !	True
make your own house special here .	True
Good Mexican food quick .	True
Good prices and family oriented .	True
The price is good	True
and definitely will be back again .	False
The tableside guacamole is cool too .	True
Terrible service and staff .	False
if you are gon na complain about something .	False
Manager or staff WILL LECTURE YOU .	False
Really just to make Katie happy .	False
Be sure to try the pork belly , baked lobster roll , and jalape̱o bombs .	False
For desert , homemade black sesame blanc manger , and green tea panna cotta .	False
( And mochi ! Always mochi ! )	False
No PB2 powdered peanut butter .	False
Delicious food and friendly service	True
Better than the one last night ..	False
Southern BBQ in Markham ? !	True
Everything but carne asada .	False
but they checked everything else ,	False
Sundays are so much fun for those of you with young kiddos .	True
